,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
spain,13.7,48.9,17.0,1394.1,8.9,70.6,98.4,96.6,21500,2.5,31.0,27.0,5,91,83,2,3,75,38,93.0,94.0,100.0,100.0,100.0,100.0,99.0,98.0,98.0,99.0,95,101,100.0,30390.0,47.1,505.9,94
argentina,8.2,55.7,10.5,449.7,9.1,72.4,74.89615384615384,64.45,1100,3.8,28.0,16.0,16,78,77,6,8,147,79,106.0,106.0,100.0,100.0,99.0,100.0,99.0,99.0,100.0,100.0,86,94,99.8,11200.0,44.9,2780.4,16
colombia,7.1,62.4,11.8,323.8,7.2,67.8,73.2,17.0,630,5.5,14.0,5.0,10,75,77,8,12,152,78,116.0,111.0,93.07377049180329,92.87704918032787,99.0,99.0,95.0,95.0,107.0,106.0,71,80,98.2,6510.0,50.3,1141.7,45
peru,3.3,74.7,3.5,226.8,5.0,63.4,50.4,42.8,480,6.7,34.04424778761062,5.0,20,69,77,6,10,146,85,107.0,106.0,96.0,95.0,99.0,99.0,97.0,92.0,98.0,94.0,99,97,93.9,6740.0,32.5,1285.2,25
south africa,25.1,40.9,29.1,351.4,8.1,53.7,74.89615384615384,64.45,330,5.7,33.0,8.0,40,51,64,12,28,376,249,107.0,100.0,93.0,98.0,94.0,97.0,88.0,86.0,89.0,92.0,77,83,85.5,6040.0,58.6,1219.1,48
morocco,8.6,41.3,10.5,118.7,5.2,42.9,70.3,38.8,560,4.3,47.0,1.0,14,80,76,14,18,72,62,109.0,111.0,93.0,88.0,98.0,97.0,83.0,65.0,93.0,94.0,62,68,99.6,3190.0,36.5,446.6,81
sweden,6.4,60.4,6.3,530.8,11.0,83.7,99.9,93.4,12600,2.5,19.0,19.0,5,90,83,1,2,62,38,102.0,102.0,100.0,99.0,92.34166666666668,90.68333333333334,87.575,81.40833333333333,104.0,104.0,111,107,100.0,55840.0,10.3,447.4,25
panama,3.2,64.0,5.0,66.8,7.3,59.9,74.89615384615384,64.45,750,6.9,10.0,2.0,16,75,78,9,13,148,77,92.0,91.0,100.0,98.0,99.0,99.0,96.0,95.0,91.0,89.0,74,80,95.3,14950.0,4.2,75.4,56
bulgaria,5.7,52.6,4.7,67.9,8.1,51.9,96.9,64.4,7000,3.0,44.0,30.0,2,95,75,3,6,184,86,91.0,91.0,100.0,99.0,98.0,98.0,99.0,98.0,87.0,86.0,51,42,100.0,9410.0,7.0,111.0,65
costa rica,8.0,56.2,12.2,61.8,7.3,73.5,93.8,64.45,1900,3.2,17.0,6.0,6,83,80,6,8,113,57,110.0,111.0,93.0,90.0,99.0,100.0,98.0,98.0,98.0,99.0,66,75,99.4,11700.0,5.0,51.1,98
kazakhstan,4.3,65.7,5.3,180.2,3.1,62.1,89.5,64.45,3500,2.5,43.0,7.0,5,86,73,5,9,221,94,98.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,109.0,112.0,113,114,100.0,8810.0,18.5,2724.9,7
qatar,0.1,86.6,0.5,183.5,2.6,80.7,96.2,96.0,5000,9.46271186440678,27.0,1.0,5,69,80,3,6,41,32,103.0,108.0,99.0,99.0,94.0,96.0,93.0,95.0,97.0,95.0,89,90,100.0,63410.0,2.8,11.6,240
egypt,8.1,40.9,23.0,303.2,5.3,33.0,74.89615384615384,60.7,730,4.7,50.0,0.0,10,84,72,11,17,183,105,101.0,102.0,95.0,98.0,89.0,87.0,76.0,66.0,100.0,102.0,82,88,99.3,2690.0,100.4,1001.5,99
tunisia,12.7,39.2,23.1,38.8,7.2,57.1,92.7,78.1,970,2.5,66.0,1.0,8,86,77,12,15,107,67,105.0,106.0,98.0,98.0,97.0,96.0,86.0,72.0,90.0,100.0,68,87,99.9,3360.0,11.7,163.6,74
venezuela,6.7,55.8,8.0,1821.3730769230767,1.2,15.9,74.89615384615384,23.8,330,31.4,34.04424778761062,9.68695652173913,11,70,72,15,21,207,95,96.0,95.0,99.0,99.0,98.0,99.0,97.0,97.0,92.0,93.0,71,80,100.0,12415.348837209302,28.5,912.1,33
algeria,9.9,36.4,21.1,170.0,6.4,66.0,74.89615384615384,17.7,270,2.8,30.0,1.0,15,76,77,16,20,103,81,102.0,102.0,100.0,98.0,98.0,97.0,87.0,75.0,105.0,106.0,74,95,99.9,3970.0,43.1,2381.7,18
bahrain,0.1,72.7,2.7,38.6,4.7,58.0,99.0,96.0,3000,9.46271186440678,38.0,6.0,7,83,77,3,6,72,56,89.0,90.0,99.0,100.0,100.0,99.0,99.0,95.0,97.0,99.0,89,100,100.0,22110.0,1.6,0.8,2017
uzbekistan,5.9,61.3,5.5,57.9,6.4,43.3,58.9,64.45,1200,2.6,25.0,1.0,10,84,72,10,16,170,101,103.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,104.0,102.0,97,95,100.0,1800.0,33.6,447.4,77
singapore,3.8,67.8,4.3,372.1,4.4,48.2,100.0,100.0,9900,9.46271186440678,28.0,5.0,23,74,83,1,2,60,35,101.0,101.0,100.0,98.0,100.0,100.0,99.0,96.0,100.0,100.0,100,99,100.0,59590.0,5.7,0.7,7953
afghanistan,10.3,43.4,13.9,19.1,11.8,5.1,74.89615384615384,64.45,33,29.9,34.04424778761062,9.68695652173913,36,44,64,36,47,238,193,130.0,90.0,94.0,86.0,74.0,56.0,55.0,30.0,103.0,67.0,70,40,71.5,540.0,38.0,652.9,57
montenegro,15.2,46.2,15.1,5.5,6.385271317829457,51.280620155038754,93.6,64.45,9900,2.5,48.0,44.0,1,95,77,1,2,125,66,111.0,89.0,100.0,100.0,99.0,99.0,99.0,98.0,95.0,94.0,94,96,100.0,9010.0,0.6,13.8,46
sri lanka,2.8,51.9,6.6,84.0,3.8,42.9,74.89615384615384,64.45,1300,7.6,27.0,0.0,8,83,77,4,6,151,56,99.0,98.0,99.0,100.0,99.0,99.0,93.0,91.0,103.0,102.0,97,96,94.1,4020.0,21.8,65.6,346
cameroon,2.9,73.6,3.8,38.8,4.7,13.3,74.89615384615384,64.45,40,6.3,34.04424778761062,9.68695652173913,54,35,59,26,50,318,281,123.0,110.0,64.0,69.0,88.0,82.0,83.0,72.0,68.0,61.0,48,47,58.7,1500.0,25.9,475.4,53
cyprus,8.0,57.9,8.8,24.6,6.7,42.4,99.6,75.5,11000,6.8,53.0,20.0,4,91,81,1,2,65,33,96.0,98.0,99.0,100.0,100.0,100.0,99.0,98.0,102.0,102.0,95,97,100.0,27710.0,1.2,9.3,129
madagascar,1.7,84.6,1.7,14.1,5.5,46.9,74.89615384615384,64.45,66,41.7,34.04424778761062,9.68695652173913,46,43,67,20,37,233,182,154.0,157.0,74.0,73.0,82.0,81.0,77.0,72.0,63.0,68.0,36,38,20.2,520.0,27.0,587.3,45
maldives,6.0,64.8,5.3,5.7,9.0,71.5,74.89615384615384,64.45,840,9.46271186440678,55.0,2.0,8,84,79,5,7,67,42,96.0,99.0,98.0,100.0,98.0,99.0,97.0,98.0,93.0,94.0,118,105,99.8,9650.0,0.5,0.3,1719
tajikistan,11.8,37.3,10.1,8.1,7.2,29.0,47.9,64.45,1400,9.46271186440678,34.04424778761062,9.68695652173913,23,69,71,15,30,165,96,107.0,105.0,100.0,99.0,100.0,100.0,100.0,100.0,95.0,95.0,98,94,98.0,1030.0,9.3,141.4,66
mauritania,8.3,41.5,11.9,7.6,4.4,38.8,74.89615384615384,64.45,28,11.9,34.04424778761062,9.68695652173913,53,37,65,32,50,218,176,104.0,106.0,68.0,64.0,71.0,57.0,64.0,43.0,73.0,80.0,40,44,39.5,1660.0,4.5,1030.7,4
jamaica,6.7,59.8,11.9,16.5,6.0,64.7,74.89615384615384,64.45,600,8.7,29.0,5.0,11,80,74,10,12,175,104,79.0,79.0,96.0,98.0,94.0,99.0,83.0,93.0,86.0,85.0,81,83,94.9,5250.0,2.9,11.0,271
cabo verde,12.7,52.9,11.5,2.0,5.2,60.2,74.89615384615384,64.45,670,18.5,17.0,2.0,20,70,73,9,13,182,86,99.0,98.0,94.0,95.0,98.0,99.0,92.0,82.0,85.0,89.0,60,77,87.1,3630.0,0.5,4.0,135
cuba,1.6,52.8,1.8,100.0,11.7,89.4,74.89615384615384,44.3,1800,2.5,53.0,17.0,8,84,79,2,4,113,74,104.0,105.0,98.0,99.0,100.0,100.0,100.0,100.0,84.0,85.0,91,95,99.4,12415.348837209302,11.3,109.9,109
eswatini,20.9,40.6,23.9,4.4,6.9,50.7,74.89615384615384,64.45,72,16.9,17.0,2.0,54,37,59,18,39,480,310,98.0,95.0,98.0,98.0,94.0,97.0,88.0,89.0,93.0,96.0,51,57,65.8,3590.0,1.1,17.4,66
rwanda,1.0,82.8,1.1,10.1,6.6,34.3,74.89615384615384,64.45,94,35.6,21.0,5.0,42,44,69,16,26,216,162,131.0,124.0,73.0,72.0,84.0,89.0,78.0,69.0,79.0,94.0,34,39,22.8,820.0,12.6,26.3,499
mali,6.5,65.8,7.9,17.5,3.8,34.9,74.89615384615384,18.7,29,5.1,23.0,2.0,61,31,59,32,60,264,245,84.0,76.0,77.0,80.0,58.0,43.0,46.0,26.0,52.0,47.0,33,27,37.6,880.0,19.7,1240.2,16
suriname,4.3,47.6,11.4,4.0,6.2,58.6,74.89615384615384,64.45,330,8.1,43.0,7.0,13,76,72,11,16,220,118,93.0,93.0,60.0,72.0,99.0,98.0,96.0,93.0,80.0,90.0,32,59,95.1,5540.0,0.6,163.8,4
thailand,0.8,67.1,0.7,543.6,3.7,76.1,74.89615384615384,64.45,1900,9.3,39.0,2.0,16,74,77,5,8,187,78,97.0,97.0,98.0,99.0,98.0,99.0,95.0,92.0,93.0,94.0,77,85,99.6,7260.0,69.6,513.1,136
burkina faso,3.8,62.5,8.9,15.7,6.9,43.3,74.89615384615384,64.45,57,19.2,24.0,2.0,56,33,61,26,54,260,228,114.0,108.0,81.0,79.0,62.0,55.0,50.0,33.0,63.0,68.0,41,45,16.3,790.0,20.3,274.2,72
gambia,6.5,53.9,12.2,1.8,3.3,22.9,74.89615384615384,64.45,31,11.9,31.0,1.0,55,34,62,27,36,280,224,100.0,107.0,93.07377049180329,92.87704918032787,71.0,64.0,62.0,42.0,74.0,84.0,52,60,54.4,740.0,2.3,11.3,225
togo,2.6,76.1,1.6,5.5,6.2,17.7,74.89615384615384,64.45,56,20.7,14.0,1.0,52,38,61,25,46,278,244,144.0,140.0,84.0,80.0,90.0,78.0,77.0,51.0,92.0,87.0,55,41,45.1,690.0,8.1,56.8,145
benin,2.2,69.1,2.6,14.4,3.7,30.0,74.89615384615384,64.45,49,7.4,12.0,1.0,54,36,61,31,59,259,211,150.0,144.0,83.0,85.0,70.0,52.0,54.0,31.0,68.0,61.0,51,40,37.7,1250.0,11.8,114.8,102
niger,0.5,71.9,0.4,12.9,7.7,33.4,74.89615384615384,9.6,27,9.46271186440678,15.0,0.0,63,27,62,24,47,252,223,79.0,71.0,60.0,56.0,51.0,36.0,44.0,27.0,67.0,57.0,21,17,16.6,560.0,23.3,1267.0,18
lesotho,20.8,51.6,27.8,2.5,8.8,62.9,74.89615384615384,64.45,58,32.6,54.0,0.0,59,32,54,43,68,546,419,126.0,114.0,86.0,88.0,80.0,94.0,68.0,85.0,78.0,94.0,39,56,31.8,1360.0,2.1,30.4,69
sierra leone,5.2,55.4,3.6,3.9,13.4,13.7,9.9,13.3,20,26.0,41.0,9.0,58,33,54,31,81,392,353,168.0,176.0,89.0,92.0,71.0,63.0,52.0,35.0,81.0,83.0,52,50,19.7,500.0,7.8,72.3,106
chad,2.0,69.4,1.6,11.3,4.5,15.8,74.89615384615384,64.45,15,39.6,34.04424778761062,9.68695652173913,63,27,54,33,69,378,335,121.0,97.0,80.0,65.0,41.0,22.0,31.0,14.0,47.0,34.0,20,10,7.7,700.0,15.9,1284.0,12
liberia,3.6,74.1,2.2,3.1,8.2,17.2,74.89615384615384,64.45,32,37.5,18.0,2.0,59,31,64,32,62,247,207,100.0,99.0,78.0,81.0,65.0,46.0,63.0,34.0,63.0,58.0,46,42,16.1,580.0,4.9,111.4,50
vietnam,2.1,76.0,1.8,261.9,5.5,48.6,74.89615384615384,64.45,1100,6.4,46.0,1.0,12,77,75,11,16,189,76,114.0,117.0,100.0,100.0,98.0,98.0,96.0,94.0,109.0,112.0,95,101,99.8,2540.0,96.5,331.2,308
sao tome and principe,8.8,50.4,20.8,0.4,6.2,45.6,74.89615384615384,64.45,170,12.0,34.04424778761062,9.68695652173913,34,55,70,14,24,188,124,91.0,92.0,94.0,100.0,98.0,98.0,96.0,90.0,82.0,87.0,67,81,66.2,1960.0,0.2,1.0,220
burundi,1.9,78.0,1.0,3.0,7.5,24.7,74.89615384615384,64.45,33,9.46271186440678,34.04424778761062,9.68695652173913,56,32,61,21,40,311,253,129.0,127.0,76.0,77.0,91.0,86.0,76.0,61.0,58.0,68.0,29,36,8.6,280.0,11.5,27.8,435
