Country,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
Afghanistan,10.3,43.4,13.9,19.1,11.8,5.1,..,..,33,29.9,..,..,36,44,64,36,47,238,193,130,90,94,86,74,56,55,30,103,67,70,40,71.5,540,38.0,652.9,57
Albania,13.1,49.0,11.2,15.3,..,..,70.0,39.9,3800,3.6,51,7,3,93,78,8,9,93,49,107,111,99,98,99,100,99,98,99,105,93,100,100.0,5240,2.9,28.8,105
Algeria,9.9,36.4,21.1,170.0,6.4,66.0,..,17.7,270,2.8,30,1,15,76,77,16,20,103,81,102,102,100,98,98,97,87,75,105,106,74,95,99.9,3970,43.1,2381.7,18
American Samoa,..,..,..,0.6,..,..,12.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.2,277
Andorra,..,..,..,3.2,10.3,49.0,90.6,100.0,..,..,38,29,..,..,..,1,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.1,0.5,164
Angola,6.7,72.1,7.3,94.6,2.8,46.3,..,..,69,18.6,..,..,63,27,61,28,50,327,220,..,..,..,..,85,71,80,53,..,..,..,..,42.0,3050,31.8,1246.7,25
Antigua and Barbuda,..,..,..,1.7,4.5,47.0,..,..,1200,..,..,..,12,82,77,4,6,127,83,97,100,100,99,..,..,98,99,93,99,95,102,100.0,16660,0.1,0.4,219
Argentina,8.2,55.7,10.5,449.7,9.1,72.4,..,..,1100,3.8,28,16,16,78,77,6,8,147,79,106,106,100,100,99,100,99,99,100,100,86,94,99.8,11200,44.9,2780.4,16
Armenia,17.8,45.9,17.2,13.7,10.4,13.2,86.5,48.2,2000,2.6,52,2,3,93,75,6,11,173,66,91,93,98,99,100,100,100,100,90,90,92,94,100.0,4680,3.0,29.7,104
Aruba,..,..,..,3.1,..,..,..,..,..,..,..,..,..,..,76,..,..,111,69,..,..,..,..,100,99,98,98,..,..,..,..,100.0,26810,0.1,0.2,588
Australia,5.3,62.2,5.3,1392.7,9.2,68.9,..,75.6,8200,2.5,17,13,5,90,83,2,3,76,45,..,..,..,..,..,..,..,..,..,..,..,..,100.0,54910,25.4,7741.2,3
Austria,5.0,57.8,4.7,446.3,10.4,72.4,98.9,96.7,13500,2.5,31,28,3,92,82,2,3,79,42,101,101,100,100,..,..,..,..,100,100,97,98,100.0,51300,8.9,83.9,107
Azerbaijan,4.1,63.6,5.8,48.0,6.7,15.1,73.6,..,1700,2.5,43,0,9,87,73,11,18,149,89,95,95,100,98,100,100,100,100,100,101,86,84,100.0,4480,10.0,86.6,120
"Bahamas, The",10.0,67.2,9.9,12.8,5.8,43.9,..,..,820,..,20,3,17,74,74,7,11,194,117,83,84,..,..,..,..,..,..,78,75,..,..,100.0,31780,0.4,13.9,39
Bahrain,0.1,72.7,2.7,38.6,4.7,58.0,99.0,96.0,3000,..,38,6,7,83,77,3,6,72,56,89,90,99,100,100,99,99,95,97,99,89,100,100.0,22110,1.6,0.8,2017
Bangladesh,3.3,56.4,6.6,302.6,2.3,16.7,55.4,..,250,13.0,45,1,26,67,72,19,26,151,115,102,109,..,..,94,96,77,72,..,..,72,87,73.1,1940,163.0,147.6,1240
Barbados,9.2,59.4,9.6,5.2,6.8,44.2,..,..,2400,4.3,15,2,13,83,79,8,12,130,92,98,99,..,..,100,100,100,100,88,90,..,..,100.0,17380,0.3,0.4,667
Belarus,5.9,61.5,3.6,63.1,5.9,70.0,94.5,80.5,23800,2.5,46,11,3,91,74,1,2,235,83,94,94,98,99,100,100,100,100,105,105,98,98,100.0,6280,9.5,207.6,47
Belgium,6.3,50.5,5.6,529.6,10.3,77.2,99.5,97.1,11200,2.5,31,25,8,86,82,2,3,80,49,97,98,..,..,..,..,..,..,..,..,91,95,100.0,47350,11.5,30.5,377
Belize,4.5,60.7,9.7,1.9,5.6,68.0,..,..,1100,7.6,..,..,19,67,74,8,11,214,118,99,98,97,97,..,..,..,..,105,104,64,71,91.8,4450,0.4,23.0,17
Benin,2.2,69.1,2.6,14.4,3.7,30.0,..,..,49,7.4,12,1,54,36,61,31,59,259,211,150,144,83,85,70,52,54,31,68,61,51,40,37.7,1250,11.8,114.8,102
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.1,4.3,1184
Bhutan,1.8,64.9,3.1,2.4,3.2,74.5,36.2,..,250,..,..,..,21,69,71,17,24,197,195,106,105,99,100,93,93,75,57,96,104,75,91,95.5,2970,0.8,38.4,20
Bolivia,3.5,69.4,3.6,40.9,6.4,68.5,..,22.9,220,15.5,..,..,22,65,71,15,21,219,138,99,99,97,97,99,99,97,89,95,94,82,84,91.5,3530,11.5,1098.6,10
Bosnia and Herzegovina,17.2,38.0,20.3,20.0,8.9,70.5,88.8,21.6,8200,2.5,48,30,2,95,77,4,5,115,60,..,..,98,98,100,100,99,95,..,..,..,..,99.7,6150,3.3,51.2,65
Botswana,14.3,58.4,20.5,18.3,6.1,75.7,..,..,220,24.1,34,6,46,46,69,18,32,249,162,..,..,..,..,96,99,86,87,..,..,..,..,58.1,7660,2.3,581.7,4
Brazil,10.9,56.2,14.2,1839.8,9.5,41.9,..,49.3,940,2.5,18,10,14,74,76,8,12,189,91,..,..,..,..,99,99,93,93,..,..,..,..,99.7,9130,211.0,8515.8,25
British Virgin Islands,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,8.3,59.2,9.6,13.5,2.4,94.8,..,..,1700,2.5,31,2,8,85,76,6,10,144,99,100,101,100,100,100,100,98,96,108,108,106,106,100.0,32230,0.4,5.8,81
Bulgaria,5.7,52.6,4.7,67.9,8.1,51.9,96.9,64.4,7000,3.0,44,30,2,95,75,3,6,184,86,91,91,100,99,98,98,99,98,87,86,51,42,100.0,9410,7.0,111.0,65
Burkina Faso,3.8,62.5,8.9,15.7,6.9,43.3,..,..,57,19.2,24,2,56,33,61,26,54,260,228,114,108,81,79,62,55,50,33,63,68,41,45,16.3,790,20.3,274.2,72
Burundi,1.9,78.0,1.0,3.0,7.5,24.7,..,..,33,..,..,..,56,32,61,21,40,311,253,129,127,76,77,91,86,76,61,58,68,29,36,8.6,280,11.5,27.8,435
Cabo Verde,12.7,52.9,11.5,2.0,5.2,60.2,..,..,670,18.5,17,2,20,70,73,9,13,182,86,99,98,94,95,98,99,92,82,85,89,60,77,87.1,3630,0.5,4.0,135
Cambodia,0.5,81.7,0.8,27.1,5.9,23.8,25.8,..,220,14.5,34,2,26,64,70,15,23,200,132,107,102,87,92,92,93,87,75,86,90,55,62,68.8,1480,16.5,181.0,92
Cameroon,2.9,73.6,3.8,38.8,4.7,13.3,..,..,40,6.3,..,..,54,35,59,26,50,318,281,123,110,64,69,88,82,83,72,68,61,48,47,58.7,1500,25.9,475.4,53
Canada,6.1,61.5,5.5,1736.4,10.6,73.7,98.9,82.3,6100,2.5,17,12,6,88,82,3,4,83,52,..,..,..,..,..,..,..,..,..,..,..,..,100.0,46370,37.6,9984.7,4
Cayman Islands,..,..,..,5.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90,89,82,79,100.0,47140,0.1,0.3,267
Central African Republic,3.8,69.3,3.6,2.2,5.8,12.8,..,..,25,..,..,..,64,26,53,40,81,453,371,140,116,..,..,48,29,50,26,49,33,12,8,24.1,520,4.7,623.0,7
Chad,2.0,69.4,1.6,11.3,4.5,15.8,..,..,15,39.6,..,..,63,27,54,33,69,378,335,121,97,80,65,41,22,31,14,47,34,20,10,7.7,700,15.9,1284.0,12
Channel Islands,7.2,54.1,7.7,..,..,..,92.0,90.0,..,..,..,..,..,..,83,..,..,48,33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.2,861
Chile,6.7,58.0,8.0,282.3,9.0,50.1,98.6,77.5,4600,3.5,42,34,8,85,80,5,6,108,59,100,99,97,98,99,99,96,96,97,96,93,94,99.7,15010,19.0,756.7,25
China,4.7,65.6,3.7,14342.9,5.2,56.7,..,72.1,2100,2.5,48,2,4,89,77,4,7,94,60,102,103,..,..,100,100,98,95,..,..,..,..,100.0,10410,1397.7,9562.9,148
Colombia,7.1,62.4,11.8,323.8,7.2,67.8,73.2,17.0,630,5.5,14,5,10,75,77,8,12,152,78,116,111,..,..,99,99,95,95,107,106,71,80,98.2,6510,50.3,1141.7,45
Comoros,4.0,41.3,4.7,1.2,7.4,12.7,..,..,83,..,24,4,47,42,64,30,48,246,194,95,102,..,..,78,78,65,53,76,77,..,..,74.4,1420,0.9,1.9,447
"Congo, Dem. Rep.",5.0,61.0,3.4,47.3,4.0,9.9,..,..,34,..,..,..,62,28,60,27,66,274,225,..,..,..,..,91,80,89,66,69,70,..,..,16.4,520,86.8,2344.9,37
"Congo, Rep.",9.1,62.8,10.3,10.8,2.9,40.7,45.4,..,58,28.0,52,2,56,35,64,19,35,280,240,..,..,..,..,85,79,86,75,..,..,..,..,60.4,1750,5.4,342.0,15
Costa Rica,8.0,56.2,12.2,61.8,7.3,73.5,93.8,..,1900,3.2,17,6,6,83,80,6,8,113,57,110,111,93,90,99,100,98,98,98,99,66,75,99.4,11700,5.0,51.1,98
Cote d'Ivoire,2.8,55.2,3.8,58.8,4.5,28.5,36.5,..,34,19.9,..,..,52,37,57,33,59,361,325,105,99,91,93,64,53,54,40,80,69,56,43,62.6,2290,25.7,322.5,79
Croatia,7.6,47.0,9.3,60.4,6.8,82.8,90.0,58.5,9100,2.5,40,34,2,92,78,3,4,118,50,97,98,99,98,100,100,100,99,94,95,99,98,100.0,14910,4.1,56.6,73
Cuba,1.6,52.8,1.8,100.0,11.7,89.4,..,44.3,1800,2.5,53,17,8,84,79,2,4,113,74,104,105,98,99,100,100,100,100,84,85,91,95,99.4,..,11.3,109.9,109
Curacao,..,..,..,3.1,..,..,..,..,..,..,..,..,..,..,78,..,..,130,63,..,..,..,..,..,..,..,..,..,..,..,..,100.0,19610,0.2,0.4,361
Cyprus,8.0,57.9,8.8,24.6,6.7,42.4,99.6,75.5,11000,6.8,53,20,4,91,81,1,2,65,33,96,98,99,100,100,100,99,98,102,102,95,97,100.0,27710,1.2,9.3,129
Czech Republic,1.8,59.4,2.8,246.5,7.2,81.7,97.9,94.5,17900,2.5,38,31,5,90,79,2,3,109,51,100,101,100,100,100,100,100,100,98,99,93,95,100.0,22000,10.7,78.9,138
Denmark,4.8,59.2,5.1,348.1,10.1,84.0,96.7,94.8,16200,2.5,19,19,7,90,81,3,3,82,52,98,99,100,100,..,..,..,..,101,101,100,99,100.0,63240,5.8,42.9,138
Djibouti,10.2,54.0,10.4,3.3,3.3,47.0,..,36.4,140,..,25,2,45,44,67,31,48,232,178,69,65,88,84,..,..,..,..,64,70,49,50,57.5,3540,1.0,23.2,41
Dominica,..,..,..,0.6,5.9,65.0,..,..,..,5.8,..,..,..,..,..,28,31,..,..,115,113,..,..,..,..,..,..,112,116,90,91,99.8,8090,0.1,0.8,96
Dominican Republic,4.2,60.6,8.1,88.9,6.1,46.0,..,..,410,5.5,19,9,16,72,74,19,24,197,115,107,105,92,95,99,99,94,94,94,93,88,91,98.6,8090,10.7,48.7,220
Ecuador,2.9,65.6,4.4,107.4,8.3,52.8,75.1,42.0,640,8.8,12,2,15,72,77,7,12,161,88,103,107,99,100,99,99,94,92,104,105,95,99,98.8,6080,17.4,256.4,69
"Egypt, Arab Rep.",8.1,40.9,23.0,303.2,5.3,33.0,..,60.7,730,4.7,50,0,10,84,72,11,17,183,105,101,102,95,98,89,87,76,66,100,102,82,88,99.3,2690,100.4,1001.5,99
El Salvador,4.2,56.6,3.8,27.0,7.2,63.7,..,..,960,8.9,19,3,11,74,73,7,11,268,103,98,95,95,95,98,98,91,87,87,86,78,77,95.4,4000,6.5,21.0,310
Equatorial Guinea,6.6,57.8,6.1,11.0,3.1,18.8,..,..,67,..,..,..,53,36,58,29,60,334,295,..,..,..,..,98,98,97,91,40,42,25,24,66.3,6460,1.4,28.1,47
Eritrea,5.3,74.5,4.9,..,2.9,27.2,..,..,46,..,11,0,43,45,66,18,31,276,202,78,69,96,93,94,93,84,69,64,56,50,52,45.7,..,..,117.6,..
Estonia,5.4,60.4,5.3,31.4,6.4,74.7,93.3,97.4,6900,2.5,39,25,3,93,78,1,2,155,56,95,97,100,100,100,100,100,100,98,95,102,102,100.0,23220,1.3,45.3,30
Eswatini,20.9,40.6,23.9,4.4,6.9,50.7,..,..,72,16.9,17,2,54,37,59,18,39,480,310,98,95,98,98,94,97,88,89,93,96,51,57,65.8,3590,1.1,17.4,66
Ethiopia,1.5,77.8,2.7,96.1,3.5,24.9,11.4,..,55,19.7,9,0,49,39,66,28,37,237,185,..,..,..,..,74,72,59,44,55,53,30,29,29.0,850,112.1,1104.3,109
Faroe Islands,..,..,..,2.8,..,..,..,..,..,..,..,..,..,..,83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.0,1.4,35
Fiji,3.5,55.3,5.5,5.5,3.5,66.2,..,..,1000,3.9,35,10,10,84,67,11,22,257,175,113,110,98,98,100,100,99,99,108,106,99,106,95.1,5860,0.9,18.3,48
Finland,7.4,54.9,7.3,268.8,9.2,76.7,99.6,99.2,20900,2.5,23,18,1,93,82,1,2,89,44,99,99,100,100,..,..,..,..,100,101,100,99,100.0,49580,5.5,338.5,18
France,9.0,50.3,9.1,2715.5,11.3,77.1,97.9,88.4,7200,2.5,36,30,6,88,83,3,4,95,48,..,..,..,..,..,..,..,..,..,..,100,100,100.0,42400,67.1,549.1,122
French Polynesia,11.5,47.8,13.4,..,..,..,..,..,..,3.6,..,..,..,..,77,..,..,113,66,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.3,4.0,76
Gabon,14.3,42.2,28.1,16.7,2.8,63.3,..,..,93,16.6,..,..,50,41,66,20,31,238,182,..,..,..,..,88,91,86,83,..,..,..,..,89.6,7210,2.2,267.7,8
"Gambia, The",6.5,53.9,12.2,1.8,3.3,22.9,..,..,31,11.9,31,1,55,34,62,27,36,280,224,100,107,..,..,71,64,62,42,74,84,52,60,54.4,740,2.3,11.3,225
Georgia,14.8,58.9,12.5,17.7,7.6,37.2,80.0,27.2,1900,8.2,56,5,3,94,74,5,9,222,77,101,102,100,100,100,99,99,99,95,96,101,102,100.0,4740,3.7,69.7,65
Germany,3.8,58.8,2.9,3845.6,11.2,77.7,99.8,97.2,9400,2.5,33,28,5,91,81,2,3,87,48,105,105,100,99,..,..,..,..,100,102,..,..,100.0,48520,83.1,357.6,237
Ghana,4.1,65.1,4.3,67.0,3.3,33.5,36.4,..,82,6.5,8,0,48,43,64,23,34,255,214,100,101,93,95,93,92,84,74,93,95,79,77,75.7,2220,30.4,238.5,131
Gibraltar,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,15.4,42.0,24.3,209.9,8.0,60.2,100.0,90.4,26900,2.5,52,35,11,86,82,2,3,94,42,99,101,99,99,99,99,99,97,98,98,95,94,100.0,20320,10.7,132.0,83
Greenland,..,..,..,3.1,..,..,96.7,94.8,..,..,..,..,..,..,71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.1,410.5,0
Grenada,..,..,..,1.2,4.8,42.7,87.1,..,1700,..,..,..,12,81,72,11,15,179,118,98,100,96,100,99,100,99,99,125,121,101,112,92.5,9980,0.1,0.3,328
Guam,5.0,61.4,4.9,5.9,..,..,99.5,..,..,..,..,..,..,..,80,..,..,80,39,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.2,0.5,307
Guatemala,1.9,60.8,3.5,76.7,5.8,35.8,56.0,..,330,16.1,..,..,25,59,74,12,21,201,111,106,105,94,86,95,93,87,76,80,79,58,55,90.5,4610,16.6,108.9,153
Guinea,5.4,58.9,3.3,13.6,4.1,17.2,..,..,35,..,..,..,56,35,61,30,64,260,233,123,107,..,..,57,37,44,22,68,51,..,..,33.9,950,12.8,245.9,51
Guinea-Bissau,2.7,70.2,2.2,1.3,7.2,8.2,..,..,32,..,..,..,62,30,58,35,52,374,301,..,..,..,..,71,50,62,31,..,..,..,..,20.3,820,1.9,36.1,67
Guyana,9.8,49.5,15.2,4.3,4.9,59.9,..,..,220,5.7,..,..,20,68,70,19,24,269,182,..,..,..,..,96,97,86,85,..,..,..,..,88.3,5180,0.8,215.0,4
Haiti,10.9,57.9,16.6,8.5,8.0,11.9,..,..,67,48.2,23,3,30,57,64,25,48,257,197,..,..,..,..,83,83,65,58,..,..,..,..,41.0,790,11.3,27.8,404
Honduras,4.7,64.9,7.2,25.1,7.9,40.1,..,..,560,13.8,..,2,14,67,75,9,15,167,116,91,91,69,73,95,98,87,87,77,82,40,47,90.0,2390,9.7,112.5,86
"Hong Kong SAR, China",3.2,58.6,2.6,366.0,..,..,100.0,91.8,..,2.5,..,..,..,..,85,..,..,62,33,111,117,100,100,..,..,..,..,103,106,108,106,100.0,50840,7.5,1.1,7096
Hungary,3.5,54.5,4.0,161.0,6.9,68.7,89.6,95.7,6200,2.5,35,27,2,94,76,2,3,168,81,98,95,100,99,99,99,99,99,98,100,92,93,100.0,16140,9.8,93.0,108
Iceland,2.9,73.3,2.5,24.2,8.3,81.8,100.0,81.8,14400,2.5,15,14,4,90,83,1,2,66,38,101,102,..,..,..,..,..,..,101,98,98,98,100.0,72850,0.4,103.0,4
India,5.3,46.8,5.3,2875.1,3.5,27.1,..,..,290,14.0,21,2,26,63,69,22,28,204,147,101,101,91,92,93,90,82,66,90,93,81,85,88.0,2130,1366.4,3287.3,455
Indonesia,4.7,64.5,4.3,1119.2,3.0,48.4,..,..,240,9.0,76,3,21,73,72,12,20,178,126,104,101,95,87,100,100,97,94,103,102,87,93,97.5,4050,270.6,1913.6,148
"Iran, Islamic Rep.",10.3,39.5,19.1,445.3,8.7,51.2,91.8,..,2600,4.7,21,1,8,82,76,9,12,83,50,105,105,97,94,98,98,90,81,100,99,92,89,100.0,5420,82.9,1745.2,50
Iraq,10.1,37.3,30.9,234.1,4.2,41.9,58.8,41.1,320,23.7,..,..,17,55,70,15,22,186,129,..,..,..,..,95,92,91,80,..,..,..,..,99.4,5740,39.3,435.1,89
Ireland,5.8,58.8,5.7,388.7,7.2,73.3,97.3,82.4,11300,2.5,26,23,5,91,82,2,3,71,42,94,96,..,..,..,..,..,..,97,97,99,99,100.0,62210,4.9,70.3,71
Isle of Man,..,..,..,6.8,..,..,97.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,75340,0.1,0.6,148
Israel,4.0,61.5,4.0,395.1,7.4,63.6,99.4,93.7,10800,2.5,35,15,10,86,83,2,3,71,40,103,105,100,100,..,..,..,..,102,103,106,111,100.0,43290,9.1,22.1,410
Italy,9.7,44.4,11.8,2001.2,8.8,73.9,95.0,96.2,51300,2.5,28,20,5,91,83,2,3,65,37,97,96,100,100,100,100,99,99,98,97,99,99,100.0,34460,60.3,301.3,205
Jamaica,6.7,59.8,11.9,16.5,6.0,64.7,..,..,600,8.7,29,5,11,80,74,10,12,175,104,79,79,96,98,94,99,83,93,86,85,81,83,94.9,5250,2.9,11.0,271
Japan,2.6,60.4,2.2,5081.8,10.9,84.1,98.5,98.8,16700,2.5,34,11,13,82,84,1,2,66,36,..,..,100,100,..,..,..,..,..,..,..,..,100.0,41690,126.3,378.0,347
Jordan,13.0,33.5,23.7,43.7,8.1,44.8,93.8,80.6,730,8.5,..,..,11,78,74,9,13,124,89,82,80,98,98,99,99,99,98,73,72,59,59,99.8,4300,10.1,89.3,112
Kazakhstan,4.3,65.7,5.3,180.2,3.1,62.1,89.5,..,3500,2.5,43,7,5,86,73,5,9,221,94,98,101,100,100,100,100,100,100,109,112,113,114,100.0,8810,18.5,2724.9,7
Kenya,2.5,72.5,2.8,95.5,4.8,42.7,..,..,76,23.0,20,1,63,27,66,21,32,265,195,96,92,98,100,88,88,85,78,99,100,79,79,41.6,1750,52.6,580.4,90
Kiribati,..,..,..,0.2,10.8,75.8,..,..,290,3.0,59,36,29,64,68,22,40,235,153,102,102,96,97,..,..,..,..,99,103,91,99,90.6,3350,0.1,0.8,143
"Korea, Dem. Peopleâs Rep.",3.1,78.2,2.3,..,..,..,66.6,..,620,47.6,..,..,10,84,72,10,13,162,96,93,92,..,..,..,..,..,..,..,..,..,..,41.2,..,25.7,120.5,212
"Korea, Rep.",3.9,60.5,3.7,1642.4,7.6,57.4,98.2,99.9,8300,2.5,41,6,10,80,83,2,3,79,32,101,100,100,100,..,..,..,..,96,95,100,100,100.0,33720,51.7,100.3,529
Kosovo,..,..,..,7.9,..,..,..,..,..,..,..,..,..,..,72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,4640,1.8,10.9,165
Kuwait,0.9,71.9,5.4,134.8,5.3,87.4,100.0,100.0,4200,2.5,37,3,15,72,75,5,7,69,41,86,93,97,99,99,100,97,95,87,98,89,101,100.0,34290,4.2,17.8,232
Kyrgyz Republic,5.7,56.4,6.4,8.5,6.2,38.0,68.2,..,480,6.4,51,4,10,83,71,12,16,211,94,107,105,100,100,100,100,100,99,105,104,95,95,99.8,1240,6.5,200.0,33
Lao PDR,0.7,77.9,0.6,18.2,2.5,35.1,16.1,58.1,180,..,51,7,31,60,68,22,36,206,157,104,100,88,85,94,91,90,79,99,97,69,65,89.7,2570,7.2,236.8,31
Latvia,8.4,57.2,6.4,34.1,6.0,57.1,95.2,85.8,3100,2.5,51,26,3,92,75,2,3,229,85,100,99,99,99,100,100,100,100,98,99,99,100,100.0,17730,1.9,64.5,31
Lebanon,4.9,44.2,10.0,53.4,8.2,50.0,47.7,21.8,1600,5.7,41,27,4,91,79,4,6,76,53,..,..,95,97,100,100,97,93,..,..,..,..,100.0,7600,6.9,10.5,669
Lesotho,20.8,51.6,27.8,2.5,8.8,62.9,..,..,58,32.6,54,0,59,32,54,43,68,546,419,126,114,86,88,80,94,68,85,78,94,39,56,31.8,1360,2.1,30.4,69
Liberia,3.6,74.1,2.2,3.1,8.2,17.2,..,..,32,37.5,18,2,59,31,64,32,62,247,207,100,99,78,81,65,46,63,34,63,58,46,42,16.1,580,4.9,111.4,50
Libya,15.3,40.5,24.6,52.1,..,..,..,26.1,590,..,..,..,8,72,73,7,10,180,99,..,..,..,..,..,..,..,..,..,..,..,..,73.4,7640,6.8,1759.5,4
