Country,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
Liechtenstein,..,..,..,6.6,..,..,100.0,99.7,..,..,..,..,..,..,83,..,..,..,..,91,99,100,96,..,..,..,..,104,111,107,96,100.0,..,0.0,0.2,237
Lithuania,6.9,58.0,5.4,54.2,6.5,65.5,92.0,91.3,7500,2.5,38,21,4,90,76,2,3,213,79,104,104,99,99,100,100,100,100,104,104,99,100,100.0,18990,2.8,65.3,45
Luxembourg,5.3,55.9,5.9,71.1,5.5,84.9,99.7,96.6,14300,2.5,26,21,5,88,82,2,2,66,41,106,105,..,..,..,..,..,..,81,79,116,113,100.0,73910,0.6,2.6,250
"Macao SAR, China",2.3,69.3,1.6,53.9,..,..,100.0,..,..,8.5,..,..,..,..,84,..,..,58,24,94,96,98,100,100,100,98,95,99,103,96,100,100.0,78640,0.6,0.0,20778
Madagascar,1.7,84.6,1.7,14.1,5.5,46.9,..,..,66,41.7,..,..,46,43,67,20,37,233,182,154,157,74,73,82,81,77,72,63,68,36,38,20.2,520,27.0,587.3,45
Malawi,4.7,72.3,6.6,7.7,9.6,30.6,..,..,60,18.8,25,4,60,32,64,20,31,325,212,131,130,..,..,72,73,70,55,76,85,..,..,10.8,380,18.6,118.5,192
Malaysia,3.1,62.0,3.8,364.7,3.9,50.6,93.3,88.6,1600,3.0,42,1,18,74,76,5,7,160,84,104,106,92,90,97,97,96,94,98,101,79,84,100.0,11200,31.9,330.3,96
Maldives,6.0,64.8,5.3,5.7,9.0,71.5,..,..,840,..,55,2,8,84,79,5,7,67,42,96,99,98,100,98,99,97,98,93,94,118,105,99.8,9650,0.5,0.3,1719
Mali,6.5,65.8,7.9,17.5,3.8,34.9,..,18.7,29,5.1,23,2,61,31,59,32,60,264,245,84,76,77,80,58,43,46,26,52,47,33,27,37.6,880,19.7,1240.2,16
Malta,3.8,54.6,3.6,14.8,9.3,63.1,100.0,93.0,10200,2.5,30,21,6,91,82,5,6,64,35,106,109,100,98,99,100,93,96,105,102,104,104,100.0,27290,0.5,0.3,1514
Marshall Islands,..,..,..,0.2,16.4,37.8,..,..,..,..,..,..,..,..,..,15,26,..,..,81,86,..,..,98,99,98,98,78,77,..,..,92.5,4860,0.1,0.2,325
Mauritania,8.3,41.5,11.9,7.6,4.4,38.8,..,..,28,11.9,..,..,53,37,65,32,50,218,176,104,106,68,64,71,57,64,43,73,80,40,44,39.5,1660,4.5,1030.7,4
Mauritius,4.6,54.6,9.9,14.2,5.7,42.9,..,..,1200,5.3,41,3,7,89,74,10,14,188,94,103,103,100,99,99,99,93,89,100,102,81,93,97.3,12740,1.3,2.0,623
Mexico,3.2,58.7,3.4,1258.3,5.5,51.5,42.9,50.4,1300,7.1,21,7,10,80,75,9,12,184,96,104,105,97,96,99,99,96,95,102,103,90,93,99.0,9430,127.6,1964.4,65
"Micronesia, Fed. Sts.",..,..,..,0.4,12.4,25.8,..,..,370,..,..,..,19,75,68,16,25,178,146,..,..,..,..,..,..,..,..,89,88,76,84,75.6,3400,0.1,0.7,161
Moldova,3.5,42.1,2.5,12.0,7.0,50.6,72.9,..,3900,..,45,6,4,90,72,11,12,237,96,94,92,98,99,100,100,100,99,90,89,86,84,100.0,3930,2.7,33.9,94
Monaco,..,..,..,7.2,1.8,79.7,100.0,100.0,..,..,..,..,..,..,..,2,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.0,0.0,19196
Mongolia,6.8,56.1,5.6,13.9,4.0,61.7,23.7,..,710,21.3,47,6,10,80,70,8,13,288,123,104,100,99,100,98,99,98,99,102,102,105,105,88.0,3780,3.2,1564.1,2
Montenegro,15.2,46.2,15.1,5.5,..,..,93.6,..,9900,2.5,48,44,1,95,77,1,2,125,66,111,89,100,100,99,99,99,98,95,94,94,96,100.0,9010,0.6,13.8,46
Morocco,8.6,41.3,10.5,118.7,5.2,42.9,70.3,38.8,560,4.3,47,1,14,80,76,14,18,72,62,109,111,93,88,98,97,83,65,93,94,62,68,99.6,3190,36.5,446.6,81
Mozambique,3.0,75.7,3.5,14.9,4.9,29.9,..,..,67,32.6,29,5,65,27,60,29,55,390,268,174,169,72,76,77,65,73,50,55,49,24,24,24.0,480,30.4,786.4,38
Myanmar,1.2,61.0,2.0,76.1,4.7,14.8,..,..,190,14.1,35,6,24,68,67,22,36,248,150,140,131,..,..,85,84,80,72,96,95,62,68,60.5,1390,54.0,676.6,82
Namibia,21.1,47.3,18.6,12.4,8.6,46.1,..,..,140,14.7,34,10,49,41,63,19,31,349,249,113,114,..,..,94,96,92,91,91,97,73,81,51.6,5060,2.5,824.3,3
Nauru,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14230,0.0,0.0,635
Nepal,1.6,82.6,1.2,30.6,5.6,22.3,27.2,..,230,6.1,38,10,25,66,70,20,26,167,130,146,148,84,81,94,91,79,60,118,123,97,102,85.2,1090,28.6,147.2,196
Netherlands,3.7,61.4,4.0,909.1,10.1,64.4,100.0,97.5,11900,2.5,27,24,5,90,82,3,4,66,51,..,..,..,..,..,..,..,..,..,..,..,..,100.0,53200,17.3,41.5,511
New Caledonia,11.9,55.1,14.0,..,..,..,96.7,..,..,8.2,..,..,..,..,77,..,..,98,57,..,..,..,..,99,99,98,98,..,..,..,..,100.0,..,0.3,18.6,16
New Zealand,4.1,67.0,4.5,206.9,9.2,75.5,100.0,88.7,6100,2.5,17,15,5,90,82,3,4,81,53,98,99,..,..,..,..,..,..,..,..,..,..,100.0,42670,4.9,267.7,18
Nicaragua,5.2,62.9,5.3,12.5,8.6,58.1,51.6,..,380,17.2,..,..,11,76,74,10,14,201,103,..,..,..,..,90,94,82,83,..,..,..,..,83.7,1910,6.5,130.4,54
Niger,0.5,71.9,0.4,12.9,7.7,33.4,..,9.6,27,..,15,0,63,27,62,24,47,252,223,79,71,60,56,51,36,44,27,67,57,21,17,16.6,560,23.3,1267.0,18
Nigeria,7.5,48.7,9.1,448.1,3.8,14.2,20.1,26.7,21,12.6,11,1,63,29,54,36,74,364,325,..,..,..,..,82,68,71,53,..,..,..,..,52.5,2030,201.0,923.8,215
North Macedonia,21.3,43.8,19.9,12.7,6.1,67.4,81.0,16.6,9000,3.1,..,..,2,95,76,4,5,120,63,105,105,..,..,99,99,99,97,94,93,86,86,100.0,5910,2.1,25.7,83
Northern Mariana Islands,..,..,..,1.3,..,..,90.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.1,0.5,124
Norway,4.0,61.5,3.5,403.3,10.4,85.5,98.3,76.3,25700,2.5,21,20,7,87,83,1,2,62,39,100,101,100,99,..,..,..,..,99,99,98,97,100.0,82500,5.3,625.2,15
Oman,1.5,69.9,11.8,77.0,3.8,87.7,90.3,..,1600,7.8,16,1,11,72,78,5,10,101,63,99,102,97,100,98,99,97,93,98,103,108,99,100.0,15330,5.0,309.5,16
Pakistan,4.0,50.3,4.6,278.2,2.9,31.6,35.3,..,180,12.3,37,3,35,58,67,41,56,173,138,127,107,87,88,81,68,71,46,77,64,52,45,71.2,1530,216.6,796.1,275
Palau,..,..,..,0.3,12.0,50.6,..,..,..,..,23,8,..,..,..,9,16,..,..,..,..,..,..,98,99,97,96,..,..,..,..,99.4,17280,0.0,0.5,39
Panama,3.2,64.0,5.0,66.8,7.3,59.9,..,..,750,6.9,10,2,16,75,78,9,13,148,77,92,91,100,98,99,99,96,95,91,89,74,80,95.3,14950,4.2,75.4,56
Papua New Guinea,3.5,46.2,1.3,25.0,2.5,75.4,..,..,190,..,49,24,36,56,64,22,36,251,188,131,124,..,..,65,71,65,58,82,72,69,54,44.5,2780,8.8,462.8,19
Paraguay,4.0,68.8,5.3,38.1,6.7,45.5,63.9,58.5,290,8.8,22,5,14,74,74,11,17,164,121,..,..,..,..,98,99,95,94,..,..,..,..,99.3,5510,7.0,406.8,18
Peru,3.3,74.7,3.5,226.8,5.0,63.4,50.4,42.8,480,6.7,..,5,20,69,77,6,10,146,85,107,106,96,95,99,99,97,92,98,94,99,97,93.9,6740,32.5,1285.2,25
Philippines,2.1,58.2,2.7,376.8,4.4,31.9,46.7,51.6,300,14.5,41,8,25,67,71,13,22,235,131,96,93,96,97,99,99,98,98,117,113,74,87,89.1,3850,108.1,300.0,358
Poland,3.8,54.8,3.8,592.2,6.5,69.0,99.2,93.3,30300,2.5,33,23,5,90,78,3,4,161,62,..,..,100,100,..,..,..,..,95,94,100,100,100.0,15200,38.0,312.7,124
Portugal,6.6,55.0,7.4,237.7,9.0,66.3,95.3,84.7,10700,2.5,30,16,10,86,81,2,3,104,42,..,..,..,..,100,100,97,95,100,99,92,98,100.0,23080,10.3,92.2,112
Puerto Rico,10.7,36.3,7.2,105.0,..,..,94.1,32.5,4000,..,..,..,..,..,80,..,..,146,63,..,..,..,..,92,92,92,92,67,73,81,91,100.0,21970,3.2,8.9,360
Qatar,0.1,86.6,0.5,183.5,2.6,80.7,96.2,96.0,5000,..,27,1,5,69,80,3,6,41,32,103,108,99,99,94,96,93,95,97,95,89,90,100.0,63410,2.8,11.6,240
Romania,4.7,52.7,3.5,250.1,5.2,78.6,81.9,76.5,3600,2.5,37,23,4,92,75,3,6,172,73,87,87,100,99,99,99,99,99,85,85,88,88,100.0,12630,19.4,238.4,85
Russian Federation,4.9,59.2,4.8,1699.9,5.3,57.1,76.0,61.3,3100,2.5,58,23,5,87,73,3,5,322,120,102,102,100,100,100,100,100,100,102,101,104,102,95.5,11260,144.4,17098.3,9
Rwanda,1.0,82.8,1.1,10.1,6.6,34.3,..,..,94,35.6,21,5,42,44,69,16,26,216,162,131,124,73,72,84,89,78,69,79,94,34,39,22.8,820,12.6,26.3,499
Samoa,7.5,40.2,9.8,0.9,5.5,74.5,58.8,48.5,590,2.5,38,17,12,81,73,8,13,138,81,114,116,95,98,99,99,99,99,106,104,104,107,99.7,4180,0.2,2.8,69
San Marino,..,..,..,1.6,7.4,81.6,100.0,77.2,..,..,..,..,..,..,..,1,2,..,..,90,116,..,..,100,100,100,100,92,125,98,110,100.0,..,0.0,0.1,563
Sao Tome and Principe,8.8,50.4,20.8,0.4,6.2,45.6,..,..,170,12.0,..,..,34,55,70,14,24,188,124,91,92,94,100,98,98,96,90,82,87,67,81,66.2,1960,0.2,1.0,220
Saudi Arabia,2.9,52.1,22.5,793.0,5.2,64.1,..,77.8,2300,4.8,25,2,11,73,75,4,6,92,76,91,92,100,96,99,99,97,93,97,97,105,104,100.0,22850,34.3,2149.7,16
Senegal,6.2,42.7,7.1,23.6,4.1,21.0,..,21.5,65,9.4,17,0,46,42,68,22,33,216,145,89,100,75,71,76,64,65,40,55,67,34,41,60.5,1450,16.3,196.7,82
Serbia,12.0,48.1,13.7,51.4,8.4,56.7,74.7,24.7,5800,4.6,40,38,2,95,76,3,5,142,75,99,100,100,100,100,100,99,98,99,99,98,98,99.9,7020,6.9,88.4,80
Seychelles,..,..,..,1.7,5.0,73.0,..,..,790,..,36,7,12,81,73,9,12,202,98,104,105,97,97,99,100,95,96,99,105,105,112,100.0,16870,0.1,0.5,210
Sierra Leone,5.2,55.4,3.6,3.9,13.4,13.7,9.9,13.3,20,26.0,41,9,58,33,54,31,81,392,353,168,176,89,92,71,63,52,35,81,83,52,50,19.7,500,7.8,72.3,106
Singapore,3.8,67.8,4.3,372.1,4.4,48.2,100.0,100.0,9900,..,28,5,23,74,83,1,2,60,35,101,101,100,98,100,100,99,96,100,100,100,99,100.0,59590,5.7,0.7,7953
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.0,0.0,1193
Slovak Republic,6.1,55.9,7.0,105.4,6.7,79.1,99.8,82.5,12600,6.1,38,23,5,89,77,3,5,145,64,97,98,99,99,..,..,..,..,92,93,82,80,100.0,19320,5.5,49.0,113
Slovenia,4.6,55.9,5.7,53.7,8.2,71.8,98.1,83.0,9300,2.5,25,20,5,88,81,1,2,91,45,101,102,100,100,100,100,100,100,97,98,94,97,100.0,25750,2.1,20.7,103
Solomon Islands,0.6,83.3,0.6,1.4,4.7,71.2,..,..,200,13.2,..,..,22,69,73,8,17,163,125,108,108,89,88,..,..,..,..,84,90,70,73,55.1,2050,0.7,28.9,23
Somalia,11.4,42.0,11.0,..,..,..,..,..,20,..,..,..,64,24,57,37,74,325,269,..,..,..,..,..,..,..,..,..,..,..,..,29.7,..,15.4,637.7,24
South Africa,25.1,40.9,29.1,351.4,8.1,53.7,..,..,330,5.7,33,8,40,51,64,12,28,376,249,107,100,93,98,94,97,88,86,89,92,77,83,85.5,6040,58.6,1219.1,48
South Sudan,11.1,63.5,13.4,..,9.8,8.4,..,..,18,..,..,..,63,27,58,39,62,351,301,..,..,..,..,48,47,40,29,..,..,..,..,18.4,..,11.1,..,..
Spain,13.7,48.9,17.0,1394.1,8.9,70.6,98.4,96.6,21500,2.5,31,27,5,91,83,2,3,75,38,93,94,100,100,100,100,99,98,98,99,95,101,100.0,30390,47.1,505.9,94
Sri Lanka,2.8,51.9,6.6,84.0,3.8,42.9,..,..,1300,7.6,27,0,8,83,77,4,6,151,56,99,98,99,100,99,99,93,91,103,102,97,96,94.1,4020,21.8,65.6,346
St. Kitts and Nevis,..,..,..,1.1,5.0,46.6,..,..,..,..,..,..,..,..,..,10,13,..,..,111,100,99,100,..,..,..,..,97,99,109,113,100.0,19030,0.1,0.3,202
St. Lucia,19.1,53.0,23.0,2.1,4.5,49.0,..,..,580,..,..,..,10,82,76,13,20,175,97,99,107,97,99,..,..,..,..,97,92,84,88,97.4,11020,0.2,0.6,298
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.0,0.1,672
St. Vincent and the Grenadines,20.4,53.4,16.7,0.8,4.5,64.3,..,..,750,5.7,..,..,13,81,72,9,13,207,125,115,112,91,100,..,..,..,..,100,111,88,96,99.7,7460,0.1,0.4,283
Sudan,11.6,40.3,29.1,18.9,6.3,18.0,..,..,75,12.4,..,..,35,52,65,27,41,245,187,88,84,90,94,73,73,65,56,63,60,58,57,49.4,590,42.8,..,..
Suriname,4.3,47.6,11.4,4.0,6.2,58.6,..,..,330,8.1,43,7,13,76,72,11,16,220,118,93,93,60,72,99,98,96,93,80,90,32,59,95.1,5540,0.6,163.8,4
Sweden,6.4,60.4,6.3,530.8,11.0,83.7,99.9,93.4,12600,2.5,19,19,5,90,83,1,2,62,38,102,102,100,99,..,..,..,..,104,104,111,107,100.0,55840,10.3,447.4,25
Switzerland,4.4,65.2,5.1,703.1,12.3,30.5,95.5,99.5,13900,2.5,29,23,4,90,84,3,4,58,36,99,102,100,100,..,..,..,..,96,97,94,97,100.0,85500,8.6,41.3,215
Syrian Arab Republic,5.8,40.6,20.9,..,..,..,..,..,1000,..,..,..,5,45,72,11,18,237,73,..,..,..,..,..,..,..,..,..,..,..,..,89.8,..,17.1,185.2,92
Tajikistan,11.8,37.3,10.1,8.1,7.2,29.0,47.9,..,1400,..,..,..,23,69,71,15,30,165,96,107,105,100,99,100,100,100,100,95,95,98,94,98.0,1030,9.3,141.4,66
Tanzania,1.5,81.9,2.5,63.2,3.6,43.2,..,25.4,36,25.0,27,3,56,33,65,20,36,250,193,108,110,73,69,87,85,83,73,65,73,29,30,26.5,1080,58.0,947.3,64
Thailand,0.8,67.1,0.7,543.6,3.7,76.1,..,..,1900,9.3,39,2,16,74,77,5,8,187,78,97,97,98,99,98,99,95,92,93,94,77,85,99.6,7260,69.6,513.1,136
Timor-Leste,3.2,64.4,6.0,1.7,3.9,66.0,..,..,170,30.9,78,6,46,45,69,20,38,169,117,92,87,92,94,82,85,72,64,101,106,85,97,67.3,1890,1.3,14.9,85
Togo,2.6,76.1,1.6,5.5,6.2,17.7,..,..,56,20.7,14,1,52,38,61,25,46,278,244,144,140,84,80,90,78,77,51,92,87,55,41,45.1,690,8.1,56.8,145
Tonga,0.5,59.1,1.9,0.5,5.3,58.3,..,..,540,..,44,12,12,83,71,7,14,214,121,..,..,..,..,99,100,99,99,..,..,..,..,96.2,4300,0.1,0.8,143
Trinidad and Tobago,2.5,58.8,2.5,24.1,7.0,53.2,..,..,840,5.5,..,..,9,81,73,12,16,186,109,..,..,..,..,100,100,99,98,..,..,..,..,100.0,16890,1.4,5.1,271
Tunisia,12.7,39.2,23.1,38.8,7.2,57.1,92.7,78.1,970,2.5,66,1,8,86,77,12,15,107,67,105,106,98,98,97,96,86,72,90,100,68,87,99.9,3360,11.7,163.6,74
Turkey,9.5,47.2,13.7,754.4,4.2,77.7,..,65.2,2800,2.5,41,14,4,89,77,5,9,119,62,96,95,100,100,100,100,99,93,89,88,87,86,100.0,9610,83.4,785.4,107
Turkmenistan,5.0,62.1,2.1,40.8,6.9,22.3,93.9,..,4400,4.0,..,..,17,76,68,24,36,244,128,..,..,..,..,100,100,100,100,..,..,..,..,100.0,6740,5.9,488.1,12
Turks and Caicos Islands,..,..,..,1.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140,119,112,100,100.0,26740,0.0,1.0,40
Tuvalu,..,..,..,0.0,17.1,72.6,..,6.3,..,..,..,..,..,..,..,16,20,..,..,79,83,95,92,..,..,..,..,88,69,53,70,99.2,5620,0.0,0.0,384
Uganda,1.3,69.1,2.2,34.4,6.2,15.7,7.1,..,49,..,17,3,55,33,63,20,33,302,233,139,140,61,57,89,90,83,71,52,54,28,25,18.5,780,44.3,241.6,213
Ukraine,10.0,49.6,7.4,153.8,7.0,44.0,92.0,68.5,3700,3.5,47,14,4,91,72,5,7,292,111,..,..,100,100,100,100,100,100,..,..,..,..,100.0,3370,44.4,603.6,77
United Arab Emirates,1.4,80.3,6.2,421.1,3.3,72.0,..,96.3,17900,3.1,37,1,7,77,78,4,6,70,45,..,..,..,..,100,99,93,95,103,104,..,..,100.0,43470,9.8,83.6,136
United Kingdom,4.0,60.2,3.9,2827.1,9.6,79.4,100.0,97.8,8400,2.5,25,20,8,89,81,3,4,86,55,98,98,100,100,..,..,..,..,101,100,102,101,100.0,42370,66.8,243.6,275
United States,3.9,59.9,3.8,21374.4,17.1,50.2,99.0,90.0,3000,2.5,25,19,5,88,79,4,6,139,82,..,..,100,98,..,..,..,..,105,95,101,106,100.0,65760,328.2,9831.5,36
Uruguay,6.9,58.6,10.1,56.0,9.3,70.8,..,..,2900,2.5,20,14,8,85,78,4,6,139,76,100,101,..,..,99,99,98,99,102,104,..,..,99.7,16230,3.5,176.2,20
Uzbekistan,5.9,61.3,5.5,57.9,6.4,43.3,58.9,..,1200,2.6,25,1,10,84,72,10,16,170,101,103,100,100,99,100,100,100,100,104,102,97,95,100.0,1800,33.6,447.4,77
Vanuatu,4.0,66.9,4.9,0.9,3.3,61.5,44.1,..,330,9.8,35,3,19,74,70,11,22,152,102,..,..,..,..,96,97,88,87,..,..,..,..,52.4,3170,0.3,12.2,24
"Venezuela, RB",6.7,55.8,8.0,..,1.2,15.9,..,23.8,330,31.4,..,..,11,70,72,15,21,207,95,96,95,99,99,98,99,97,97,92,93,71,80,100.0,..,28.5,912.1,33
Vietnam,2.1,76.0,1.8,261.9,5.5,48.6,..,..,1100,6.4,46,1,12,77,75,11,16,189,76,114,117,100,100,98,98,96,94,109,112,95,101,99.8,2540,96.5,331.2,308
Virgin Islands (U.S.),7.7,55.6,9.1,3.9,..,..,..,..,..,..,..,..,..,..,80,..,..,70,41,..,..,..,..,..,..,..,..,..,..,..,..,100.0,..,0.1,0.4,306
West Bank and Gaza,22.4,32.1,41.8,14.6,..,..,..,61.2,880,..,..,..,..,..,74,11,17,127,92,99,101,96,97,99,99,99,96,96,97,85,94,99.9,3710,4.7,6.0,759
"Yemen, Rep.",12.0,33.1,25.3,27.6,4.2,10.2,..,..,150,..,29,8,29,57,66,27,44,220,175,107,99,..,..,..,..,..,..,80,65,61,45,71.2,940,29.2,528.0,54
Zambia,10.6,66.1,12.4,23.1,4.5,38.6,..,..,93,..,25,3,61,29,64,23,42,321,222,105,110,..,..,93,92,91,83,..,..,..,..,31.1,1450,17.9,752.6,23
Zimbabwe,4.6,78.8,5.6,21.4,6.6,51.6,..,..,55,..,31,2,55,33,61,26,38,373,338,..,..,..,..,88,93,89,88,..,..,..,..,33.7,1390,14.6,390.8,37
Arab World,8.0,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,6.8,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,4.3,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,5.3,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,4.1,65.1,3.4,26979.8,6.6,67.1,..,63.5,800,5.1,49,3,9,84,76,7,12,124,76,104,103,97,96,99,99,97,94,98,98,85,87,97.1,11726,2340.6,24827.7,95
East Asia & Pacific (excluding high income),4.2,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),4.2,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,7.9,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,6.8,54.5,7.0,22748.8,9.3,72.8,91.8,67.4,4300,2.7,38,21,5,89,78,4,7,123,62,97,97,99,99,100,100,99,98,97,98,94,95,99.3,25163,921.1,28691.0,33
Europe & Central Asia (excluding high income),7.2,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),6.8,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,7.0,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,6.5,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),4.2,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,4.8,57.7,5.4,55045.4,12.5,61.5,98.7,86.0,5500,2.7,29,19,7,88,81,3,4,108,61,99,98,..,..,..,..,..,..,99,97,93,96,100.0,45307,1235.9,37468.3,35
IBRD only,5.6,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,5.4,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,4.9,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA only,4.0,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,4.3,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,5.2,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,6.9,58.9,9.4,5719.3,8.0,52.2,74.3,31.3,630,7.4,21,9,14,75,75,9,14,177,93,101,100,96,94,98,99,95,94,98,98,77,82,97.3,8775,646.4,20425.5,32
Latin America & Caribbean (excluding high income),6.9,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),7.0,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,4.0,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,5.4,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,4.8,63.9,5.0,521.3,5.7,20.1,26.7,..,45,..,..,..,50,38,63,27,48,264,206,129,119,78,75,76,70,69,54,67,63,44,36,33.3,792,668.5,12870.1,52
Lower middle income,5.0,52.0,5.5,6341.1,4.0,33.7,53.7,..,130,12.7,27,2,31,59,68,24,37,211,153,105,101,89,89,91,88,82,69,89,89,73,76,80.3,2189,2913.4,22578.8,131
Middle East & North Africa,8.0,42.9,18.4,3701.4,5.7,57.7,77.8,34.7,570,6.3,35,2,12,75,74,12,18,128,86,103,101,92,91,92,88,85,73,93,90,75,76,97.0,7994,456.7,11370.6,40
Middle East & North Africa (excluding high income),9.7,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),9.5,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,5.4,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,4.2,60.0,4.0,23117.8,16.6,51.3,99.0,79.8,3100,2.5,24,18,5,88,79,4,5,139,82,100,102,100,98,..,..,..,..,104,96,92,97,100.0,63778,365.9,19820.5,20
Not classified,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,5.2,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,7.2,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,2.8,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,5.3,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-demographic dividend,5.4,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small states,6.9,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,5.0,48.6,5.3,3598.0,3.5,27.1,..,..,240,13.8,25,2,27,62,69,25,33,195,142,106,104,91,91,92,88,81,65,89,91,78,81,84.5,2019,1835.8,5135.3,380
South Asia (IDA & IBRD),5.0,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,5.7,62.8,6.7,1755.0,5.1,36.1,27.3,18.7,38,17.5,18,2,56,34,61,28,52,303,243,118,108,75,76,79,74,72,59,70,67,47,42,39.3,1550,1107.0,21754.5,51
Sub-Saharan Africa (excluding high income),5.7,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),5.7,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,5.8,61.4,5.8,25817.1,5.7,55.4,..,59.6,900,4.6,45,5,9,83,75,7,11,131,80,101,101,98,97,99,99,97,94,96,96,84,86,98.8,9074,2855.9,59108.0,49
World,5.3,57.6,5.6,87697.5,9.9,59.5,70.6,45.0,190,8.9,35,6,20,71,73,18,28,175,121,107,104,91,91,93,91,90,83,90,89,75,76,86.6,11570,7673.5,132025.2,60
